,age,attrition,businesstravel,dailyrate,department,distancefromhome,education,educationfield,employeenumber,environmentsatisfaction,gender,jobinvolvement,joblevel,jobrole,jobsatisfaction,maritalstatus,monthlyincome_$,monthlyrate_$,numcompaniesworked,overtime,percentsalaryhike,performancerating,relationshipsatisfaction,standardhours,stockoptionlevel,trainingtimeslastyear,worklifebalance,yearsatcompany,yearsincurrentrole,yearssincelastpromotion,yearswithcurrmanager,datebirth,salary,remotework,generation
10,43,No,non-travel,2060.7063492063494,research & development,7,1,,11,2,Female,1,5,research director,3,,16644.17,43274.83,1,No,22,4.0,2,Full Time,2,3,3.0,21,5.0,5,10,1982,199730.0,False,Millennials
11,58,No,travel_rarely,1382.7460317460318,research & development,23,3,Life Sciences,12,4,Male,3,4,manufacturing director,2,married,27654.920634920636,29037.67,4,Yes,12,0.0,1,Full Time,1,0,3.0,19,15.0,15,9,1967,134020.0,False,Gen X
12,40,No,,1362.5238095238096,research & development,10,3,Medical,13,2,Female,1,3,research director,3,married,27250.47619047619,28613.0,3,No,12,3.0,1,Full Time,1,3,3.0,18,1.0,1,11,1985,132060.0,True,Millennials
13,43,Yes,travel_rarely,2016.547619047619,research & development,12,3,,14,2,Female,3,5,research director,3,married,40330.95238095238,42347.5,1,No,12,3.0,4,Full Time,0,0,3.0,22,15.0,15,8,1982,195450.0,False,Millennials
14,57,No,,1973.9841269841268,research & development,14,4,Medical,15,3,Male,4,5,research director,2,single,15943.72,41453.67,8,No,11,3.0,4,Full Time,0,3,3.0,24,2.0,2,15,1968,191324.63999999998,True,Gen X
15,42,No,travel_rarely,1861.373015873016,,2,4,,16,3,Female,3,5,manager,3,,15034.17,39088.83,0,No,14,3.0,4,Full Time,0,2,3.0,20,1.0,1,12,1983,180410.0,False,Millennials
16,60,Yes,travel_rarely,1985.6984126984123,research & development,2,4,,17,4,Male,3,5,research director,2,single,16038.33,41699.67,7,Yes,12,3.0,4,Full Time,0,2,3.0,31,13.0,13,8,1965,192460.0,False,Gen X
17,48,No,travel_rarely,1582.7713464696226,,2,3,,18,3,Female,3,4,manager,1,,12783.92,33238.2,8,Unknown,23,4.0,1,Full Time,0,2,3.0,26,15.0,15,9,1977,153407.04,False,Gen X
18,37,No,,556.2566609977324,research & development,13,5,Life Sciences,19,2,Male,4,2,research scientist,1,married,4492.84,11681.39,1,Unknown,11,3.0,4,Part Time,0,2,3.0,16,1.0,1,10,1988,53914.08,False,Millennials
19,42,No,travel_rarely,1032.4872861766066,research & development,15,3,Life Sciences,20,1,Female,2,3,manufacturing director,3,,8339.32,21682.23,1,Unknown,13,3.0,4,Full Time,2,2,Unknown,18,14.0,14,12,1983,100071.84,True,Millennials
20,47,No,non-travel,1108.920634920635,research & development,1,1,,21,3,Male,2,3,healthcare representative,3,,8956.67,23287.33,3,Unknown,23,4.0,4,Full Time,1,3,2.0,23,14.0,14,4,1978,107480.0,False,Gen X
21,35,No,,1032.4872861766066,research & development,1,2,Life Sciences,22,1,Female,3,3,research director,4,single,20649.745723532134,21682.23,1,Yes,12,3.0,3,Part Time,0,1,3.0,15,8.0,8,12,1990,100071.84,True,Millennials
22,38,No,,1032.4872861766066,research & development,8,3,,23,3,Female,3,3,healthcare representative,3,divorced,20649.745723532134,21682.23,1,Unknown,13,0.0,2,Unknown,3,2,3.0,17,12.0,12,8,1987,100071.84,True,Millennials
23,49,No,,1728.3809523809523,,2,2,Other,24,3,Female,3,4,manager,4,married,34567.619047619046,36296.0,1,Unknown,11,3.0,3,Full Time,1,3,2.0,26,3.0,3,0,1976,167520.0,False,Gen X
24,38,No,travel_rarely,639.7857142857143,sales,42,2,Life Sciences,25,4,Male,3,2,sales executive,4,,5167.5,13435.5,1,Unknown,14,3.0,4,Full Time,1,1,Unknown,18,4.0,4,11,1987,62010.0,True,Millennials
25,37,No,,1032.4872861766066,research & development,9,3,Life Sciences,26,4,Female,2,3,manufacturing director,3,married,20649.745723532134,21682.23,1,Yes,20,4.0,2,Part Time,1,2,3.0,17,5.0,5,15,1988,100071.84,False,Millennials
26,54,Yes,,2047.5,,2,1,,27,1,Female,1,5,manager,4,married,40950.0,42997.5,1,No,15,3.0,4,Full Time,1,3,3.0,32,6.0,6,9,1971,198450.0,True,Gen X
27,38,No,,556.2566609977324,research & development,2,4,Life Sciences,28,3,Female,3,2,manufacturing director,2,single,4492.84,11681.39,9,Yes,11,3.0,4,Part Time,0,2,3.0,16,5.0,5,12,1987,53914.11,False,Millennials
28,35,No,travel_rarely,556.2566609977324,research & development,28,4,Life Sciences,29,2,Male,3,2,laboratory technician,3,married,4492.84,11681.39,1,Unknown,12,3.0,2,Part Time,1,3,3.0,15,5.0,5,7,1990,53914.11,True,Millennials
29,36,No,non-travel,412.8015873015873,sales,10,3,Life Sciences,30,4,Male,3,2,sales executive,3,,3334.17,8668.83,1,Yes,14,3.0,3,Part Time,1,3,3.0,15,0.0,0,7,1989,40010.0,True,Millennials
30,43,No,,1077.8650793650793,sales,37,1,,31,3,Female,3,3,sales executive,3,divorced,8705.83,22635.17,0,Unknown,13,3.0,4,Full Time,1,3,4.0,22,13.0,13,5,1982,104470.0,True,Millennials
31,49,No,,1032.4872861766066,research & development,25,3,Medical,32,1,Male,3,3,healthcare representative,3,,8339.32,21682.23,2,Unknown,23,4.0,2,Full Time,0,3,3.0,17,12.0,12,11,1976,100071.84,True,Gen X
32,55,No,travel_rarely,1973.9841269841268,,5,3,,33,3,Female,3,5,manager,3,,15943.72,41453.67,4,Unknown,11,3.0,4,Full Time,1,3,2.0,14,4.0,4,8,1970,191324.62,True,Gen X
33,37,No,,556.2566609977324,sales,1,4,Marketing,34,3,Male,2,2,sales executive,1,single,4492.84,11681.39,0,No,14,0.0,2,Part Time,0,2,3.0,15,2.0,2,8,1988,53914.11,False,Millennials
34,36,No,travel_rarely,556.2566609977324,research & development,6,4,Other,35,1,Female,3,2,research scientist,3,single,4492.84,11681.39,1,Unknown,14,3.0,3,Part Time,0,3,3.0,16,2.0,2,10,1989,53914.08,True,Millennials
35,48,No,travel_rarely,1032.4872861766066,sales,1,2,,36,2,Female,3,3,sales executive,1,divorced,8339.32,21682.23,1,No,25,4.0,3,Part Time,3,2,3.0,24,15.0,15,7,1977,100071.84,True,Gen X
36,45,No,,1657.3968253968255,,16,3,,37,4,Female,3,4,manager,4,married,33147.93650793651,34805.33,5,Unknown,22,4.0,3,Full Time,1,3,3.0,17,1.0,1,9,1980,160640.0,True,Gen X
37,38,No,,331.1904761904762,research & development,6,3,Life Sciences,38,4,Male,3,1,laboratory technician,4,married,2675.0,6955.0,0,Unknown,11,3.0,3,Full Time,1,4,3.0,15,10.0,10,11,1987,32100.0,True,Millennials
38,62,No,travel_frequently,1059.1904761904764,sales,28,3,,39,3,Female,2,3,sales executive,1,married,8555.0,22243.0,4,No,19,3.0,4,Full Time,0,5,4.0,18,13.0,13,11,1963,102660.0,True,Baby Boomers
39,42,No,travel_frequently,1080.7539682539684,sales,5,4,,40,4,Male,2,3,sales executive,1,married,8729.17,22695.83,5,Yes,21,4.0,3,Full Time,1,2,3.0,18,1.0,1,12,1983,104750.0,False,Millennials
40,34,No,travel_rarely,635.7619047619048,research & development,4,3,,41,3,Female,2,2,manufacturing director,3,married,12715.238095238095,13351.0,1,No,12,3.0,3,Full Time,1,3,3.0,14,6.0,6,8,1991,61620.0,False,Millennials
41,43,No,travel_rarely,487.0873015873016,research & development,35,3,,42,3,Male,3,1,laboratory technician,1,single,3934.17,10228.83,2,Yes,13,0.0,3,Full Time,0,3,3.0,18,2.0,2,17,1982,47210.0,True,Millennials
42,55,No,,1582.7713464696226,,2,2,Medical,43,3,Male,3,4,manager,3,divorced,12783.92,33238.2,6,No,13,3.0,3,Full Time,1,3,4.0,17,15.0,15,2,1970,153407.07,False,Gen X
43,38,Yes,travel_rarely,290.03550973654063,research & development,16,4,,44,3,Female,4,1,laboratory technician,1,single,5800.710194730813,6090.75,1,Unknown,16,3.0,3,Part Time,0,1,3.0,17,15.0,15,14,1987,28111.13,True,Millennials
44,48,No,,476.1507936507937,research & development,8,4,Life Sciences,45,4,Female,2,2,research scientist,1,divorced,3845.83,9999.17,8,Yes,23,4.0,1,Part Time,3,2,3.0,16,1.0,1,7,1977,46150.0,False,Gen X
45,40,No,travel_rarely,556.2566609977324,sales,1,4,,46,4,Male,3,2,sales executive,2,married,4492.84,11681.39,0,No,15,3.0,1,Part Time,2,3,Unknown,15,5.0,5,8,1985,53914.11,True,Millennials
46,53,No,,1032.4872861766066,research & development,1,4,,47,1,Female,2,3,healthcare representative,1,single,8339.32,21682.23,3,Unknown,20,4.0,3,Part Time,0,1,2.0,13,12.0,12,8,1972,100071.84,True,Gen X
47,45,No,,1749.7380952380954,,26,2,,48,3,Male,3,4,manager,4,married,14132.5,36744.5,1,Yes,12,3.0,4,Full Time,2,3,4.0,25,4.0,4,12,1980,169590.0,True,Gen X
48,39,No,,290.03550973654063,research & development,1,3,Life Sciences,49,4,Female,3,1,research scientist,4,single,5800.710194730813,6090.75,1,No,12,3.0,2,Part Time,0,3,3.0,17,5.0,5,7,1986,28111.13,True,Millennials
49,34,No,travel_rarely,556.2566609977324,sales,8,2,Technical Degree,50,3,Female,2,2,sales executive,2,married,11125.133219954649,11681.39,1,Yes,11,3.0,4,Part Time,0,2,3.0,13,12.0,11,9,1991,53914.11,True,Millennials
50,40,No,,1032.4872861766066,research & development,1,3,,51,4,Female,3,3,research director,1,married,8339.32,21682.23,1,Unknown,13,3.0,2,Part Time,1,3,3.0,15,5.0,5,11,1985,100071.84,False,Millennials
51,48,No,,1582.7713464696226,,3,3,Life Sciences,52,3,Female,3,4,manager,2,,12783.92,33238.2,8,No,12,3.0,4,Full Time,1,2,4.0,13,5.0,5,1,1977,153407.07,True,Gen X
52,37,Yes,travel_rarely,1063.3174603174605,sales,10,3,Medical,53,4,Male,2,3,sales executive,1,married,8588.33,22329.67,9,Unknown,17,3.0,3,Full Time,0,3,Unknown,13,6.0,6,0,1988,103059.95999999999,False,Millennials
53,45,No,,1973.9841269841268,,6,3,Medical,54,1,Female,2,5,manager,3,married,15943.72,41453.67,7,No,13,3.0,4,Full Time,0,2,3.0,16,6.0,6,14,1980,191324.63999999998,True,Gen X
54,58,No,non-travel,556.2566609977324,research & development,1,4,Life Sciences,55,3,Male,3,2,healthcare representative,3,divorced,4492.84,11681.39,1,No,21,0.0,1,Part Time,1,2,2.0,13,1.0,1,9,1967,53914.08,True,Gen X
55,38,No,non-travel,557.7619047619048,sales,15,4,Marketing,56,4,Male,1,2,sales executive,4,divorced,4505.0,11713.0,1,No,24,4.0,1,Full Time,1,4,2.0,15,11.0,11,11,1987,54060.0,True,Millennials
56,40,No,,556.2566609977324,research & development,6,3,Medical,57,2,Female,1,2,research scientist,4,,11125.133219954649,11681.39,7,Unknown,12,3.0,4,Part Time,3,3,3.0,13,1.0,1,9,1985,53914.11,True,Millennials
57,51,No,,556.2566609977324,research & development,26,4,Medical,58,3,Female,3,2,manufacturing director,1,,11125.133219954649,11681.39,1,No,14,3.0,3,Part Time,0,2,2.0,15,5.0,5,11,1974,53914.11,False,Gen X
58,41,No,travel_rarely,608.936507936508,sales,4,4,Life Sciences,59,4,Female,2,2,sales executive,3,married,4918.33,12787.67,4,Unknown,14,3.0,3,Full Time,1,1,4.0,15,5.0,5,9,1984,59020.0,True,Millennials
59,42,No,,1119.9603174603176,sales,4,4,,60,3,Male,2,3,sales executive,4,married,22399.206349206353,23519.17,7,No,11,0.0,1,Full Time,1,2,2.0,12,2.0,2,11,1983,108550.0,True,Millennials
60,38,No,,610.1746031746031,research & development,5,2,,61,4,Male,3,2,laboratory technician,2,single,4928.33,12813.67,8,No,16,3.0,4,Full Time,0,3,4.0,13,3.0,3,7,1987,59140.0,True,Millennials
61,39,No,,556.2566609977324,research & development,25,5,,62,2,Female,3,2,research scientist,3,married,11125.133219954649,11681.39,3,Yes,15,3.0,1,Unknown,2,2,3.0,13,10.0,10,7,1986,53914.11,False,Millennials
62,37,No,,685.6984126984128,research & development,6,4,,63,2,Male,1,2,research scientist,4,,5538.33,14399.67,1,Unknown,13,3.0,2,Full Time,0,3,3.0,17,11.0,11,8,1988,66460.0,True,Millennials
63,35,No,travel_frequently,556.2566609977324,research & development,6,3,Life Sciences,64,3,Male,3,2,healthcare representative,4,divorced,4492.84,11681.39,3,No,23,4.0,3,Part Time,1,2,1.0,13,4.0,4,7,1990,53914.11,False,Millennials
64,52,No,travel_rarely,1441.65873015873,research & development,24,3,,65,4,Male,3,4,manufacturing director,3,married,28833.174603174597,30274.83,3,Yes,18,3.0,4,Full Time,1,2,3.0,12,1.0,1,5,1973,139730.0,False,Gen X
65,50,No,travel_rarely,1032.4872861766066,research & development,4,4,,66,3,Male,2,3,healthcare representative,3,single,20649.745723532134,21682.23,7,Unknown,14,0.0,2,Part Time,0,3,3.0,15,11.0,4,8,1975,100071.84,True,Gen X
66,46,No,travel_rarely,1374.2857142857142,sales,28,3,,67,4,Female,4,4,sales executive,4,married,11100.0,28860.0,3,Unknown,18,3.0,3,Full Time,1,2,3.0,12,11.0,11,11,1979,133200.0,True,Gen X
67,46,No,travel_rarely,556.2566609977324,research & development,29,4,,68,4,Male,3,2,research scientist,4,single,11125.133219954649,11681.39,1,Unknown,25,4.0,2,Part Time,0,3,3.0,20,13.0,13,17,1979,53914.11,True,Gen X
68,42,No,,556.2566609977324,research & development,25,1,,69,2,Female,4,2,healthcare representative,3,,11125.133219954649,11681.39,5,No,20,4.0,2,Part Time,3,0,3.0,12,11.0,11,8,1983,53914.11,True,Millennials
69,36,No,travel_rarely,689.9285714285714,research & development,2,4,,70,3,Female,3,2,healthcare representative,4,single,5572.5,14488.5,1,Unknown,11,3.0,4,Full Time,0,2,4.0,14,4.0,4,11,1989,66870.0,True,Millennials
70,37,No,non-travel,556.2566609977324,research & development,8,4,,71,3,Female,3,2,healthcare representative,3,,4492.84,11681.39,1,Unknown,12,3.0,4,Part Time,1,5,3.0,14,2.0,2,9,1988,53914.11,True,Millennials
71,52,No,,1032.4872861766066,research & development,17,5,Life Sciences,72,4,Female,2,3,research director,1,,20649.745723532134,21682.23,5,No,15,3.0,3,Part Time,3,3,3.0,14,11.0,1,11,1973,100071.84,False,Gen X
72,51,No,,1582.7713464696226,research & development,6,1,Life Sciences,73,3,Female,2,4,healthcare representative,3,,12783.92,33238.2,2,Unknown,19,3.0,2,Full Time,1,3,3.0,15,2.0,2,12,1974,153407.07,True,Gen X
73,40,No,travel_frequently,488.531746031746,research & development,1,3,Life Sciences,74,4,Male,3,2,research scientist,4,,9770.63492063492,10259.17,7,No,15,3.0,4,Part Time,2,4,Unknown,13,2.0,2,9,1985,47350.0,True,Millennials
74,35,No,,290.03550973654063,research & development,21,3,,75,2,Male,4,1,laboratory technician,2,,5800.710194730813,6090.75,1,No,18,3.0,4,Part Time,3,6,Unknown,14,2.0,2,13,1990,28111.13,True,Millennials
75,49,No,travel_rarely,1032.4872861766066,research & development,4,3,Life Sciences,76,3,Female,2,3,manufacturing director,2,divorced,8339.32,21682.23,8,Yes,12,0.0,3,Part Time,1,4,3.0,22,14.0,14,10,1976,100071.84,True,Gen X
76,40,No,,556.2566609977324,research & development,8,3,,77,4,Female,2,2,research scientist,2,divorced,4492.84,11681.39,1,Unknown,16,3.0,3,Part Time,1,3,3.0,20,0.0,0,7,1985,53914.08,False,Millennials
77,39,No,travel_rarely,1032.4872861766066,research & development,10,3,Life Sciences,78,3,Female,4,3,research director,4,,8339.32,21682.23,1,Yes,25,4.0,1,Part Time,1,2,3.0,16,6.0,6,8,1986,100071.84,True,Millennials
78,32,No,,556.2566609977324,research & development,2,3,,79,3,Male,2,2,healthcare representative,4,married,11125.133219954649,11681.39,1,No,19,0.0,1,Part Time,3,3,3.0,11,10.0,10,8,1993,53914.11,True,Millennials
79,60,No,travel_rarely,1431.2380952380954,sales,18,4,,80,4,Male,3,4,sales executive,3,single,11560.0,30056.0,0,Unknown,13,3.0,3,Full Time,0,1,2.0,37,1.0,1,8,1965,138720.0,True,Gen X
80,36,No,travel_rarely,1032.4872861766066,,5,3,,81,3,Female,2,3,manager,1,single,8339.32,21682.23,2,Unknown,12,3.0,4,Full Time,0,6,3.0,11,5.0,5,8,1989,100071.84,False,Millennials
81,60,Yes,travel_rarely,1032.4872861766066,research & development,23,4,Medical,82,4,Female,3,3,healthcare representative,4,married,8339.32,21682.23,1,Unknown,12,3.0,4,Part Time,1,3,2.0,40,15.0,15,6,1965,100071.84,True,Gen X
82,40,No,,1032.4872861766066,sales,3,3,Life Sciences,83,1,Male,3,3,sales executive,3,divorced,8339.32,21682.23,0,Unknown,12,3.0,3,Full Time,2,6,2.0,16,5.0,5,13,1985,100071.84,True,Millennials
83,31,No,travel_frequently,1032.4872861766066,sales,1,1,,84,2,Female,3,3,sales executive,4,married,8339.32,21682.23,1,Unknown,14,3.0,4,Part Time,1,5,3.0,11,4.0,4,1,1994,100071.84,True,Millennials
84,57,No,travel_rarely,1964.9603174603176,,1,3,Medical,85,4,Male,3,5,manager,1,single,15870.83,41264.17,0,Unknown,14,3.0,3,Full Time,0,2,3.0,36,4.0,4,13,1968,190450.0,True,Gen X
85,43,No,,1652.34126984127,,10,4,,86,4,Male,3,4,manager,2,,13345.83,34699.17,1,Unknown,19,3.0,2,Full Time,0,2,3.0,22,0.0,0,4,1982,160149.96,True,Millennials
86,41,No,travel_rarely,991.8174603174604,research & development,1,3,,87,3,Male,4,3,healthcare representative,4,,8010.83,20828.17,0,No,17,0.0,1,Part Time,3,5,2.0,18,3.0,3,7,1984,96130.0,False,Millennials
87,40,No,,1187.5396825396826,research & development,15,2,Life Sciences,88,3,Male,2,3,research director,4,,23750.793650793654,24938.33,0,Unknown,14,3.0,2,Full Time,1,3,3.0,11,2.0,2,9,1985,115100.0,True,Millennials
88,45,No,,1582.7713464696226,research & development,12,3,,89,1,Male,2,4,research director,2,,12783.92,33238.2,1,No,11,3.0,3,Full Time,1,3,Unknown,25,3.0,3,9,1980,153407.07,True,Gen X
89,33,No,,444.26984126984127,research & development,30,2,,90,2,Female,3,2,manufacturing director,1,married,3588.33,9329.67,1,No,12,3.0,2,Part Time,1,5,1.0,13,3.0,3,12,1992,43059.96,True,Millennials
90,52,No,travel_rarely,1758.7142857142858,research & development,27,4,Life Sciences,91,2,Male,2,4,manager,3,married,14205.0,36933.0,0,No,15,3.0,2,Full Time,1,2,3.0,27,15.0,15,7,1973,170460.0,True,Gen X
91,37,No,,1032.4872861766066,research & development,25,3,Technical Degree,92,4,Male,2,3,manufacturing director,2,married,8339.32,21682.23,3,No,16,0.0,1,Part Time,0,2,3.0,13,4.0,4,8,1988,100071.84,False,Millennials
92,49,No,,522.7857142857143,research & development,16,4,,93,3,Male,4,2,manufacturing director,3,,4222.5,10978.5,1,Yes,19,3.0,3,Part Time,0,3,Unknown,19,2.0,2,7,1976,50670.0,True,Gen X
93,37,No,,1032.4872861766066,research & development,25,4,,94,3,Female,3,3,healthcare representative,3,divorced,8339.32,21682.23,1,Yes,11,0.0,3,Part Time,1,3,2.0,16,10.0,10,1,1988,100071.84,True,Millennials
94,42,No,travel_rarely,1032.4872861766066,research & development,20,4,,95,1,Male,3,3,healthcare representative,4,married,20649.745723532134,21682.23,4,Unknown,20,4.0,4,Part Time,1,6,3.0,11,11.0,11,1,1983,100071.84,True,Millennials
95,47,No,,556.2566609977324,sales,9,4,Life Sciences,96,2,Female,2,2,sales executive,3,married,4492.84,11681.39,1,Unknown,13,3.0,4,Part Time,1,2,3.0,15,4.0,4,12,1978,53914.11,False,Gen X
96,35,No,,290.03550973654063,research & development,9,3,Medical,97,1,Male,3,1,research scientist,4,married,5800.710194730813,6090.75,0,Unknown,13,3.0,2,Unknown,1,5,3.0,14,4.0,4,10,1990,28111.13,False,Millennials
97,38,No,travel_frequently,380.9206349206349,research & development,3,3,,98,3,Male,3,1,research scientist,2,married,3076.67,7999.33,1,No,12,3.0,3,Full Time,0,2,2.0,11,0.0,0,7,1987,36920.0,False,Millennials
98,47,Yes,,1973.9841269841268,,13,3,Marketing,99,1,Female,1,5,manager,2,,15943.72,41453.67,2,Yes,16,3.0,1,Full Time,0,2,3.0,24,1.0,1,11,1978,191324.62,True,Gen X
99,53,No,travel_frequently,2047.7063492063487,,27,3,,100,2,Male,3,5,manager,2,,40954.126984126975,43001.83,4,Yes,24,0.0,1,Full Time,1,5,2.0,29,11.0,11,10,1972,198470.0,False,Gen X
100,36,No,travel_rarely,238.12698412698413,sales,7,2,Technical Degree,101,2,Male,3,1,sales representative,3,,4762.539682539683,5000.67,0,Yes,25,4.0,2,Part Time,1,4,3.0,11,5.0,5,7,1989,23080.0,False,Millennials
101,45,No,travel_rarely,1582.7713464696226,research & development,15,2,,102,3,Male,2,4,research director,3,,31655.42692939245,33238.2,1,No,24,4.0,1,Full Time,1,3,3.0,14,6.0,6,11,1980,153407.07,True,Gen X
102,36,No,,556.2566609977324,research & development,5,2,Medical,103,2,Male,2,2,laboratory technician,4,,4492.84,11681.39,1,No,14,3.0,3,Part Time,1,3,Unknown,15,4.0,4,13,1989,53914.11,False,Millennials
103,40,No,,290.03550973654063,human resources,2,3,,104,1,Male,3,1,human resources,2,divorced,2342.59,6090.75,5,No,13,3.0,4,Part Time,3,3,3.0,11,3.0,3,8,1985,28111.13,True,Millennials
104,50,No,,1973.9841269841268,research & development,10,3,,105,4,Male,2,5,research director,2,,39479.68253968254,41453.67,4,No,12,3.0,4,Full Time,0,3,3.0,22,12.0,12,9,1975,191324.62,False,Gen X
105,36,No,,592.9444444444445,research & development,22,4,Other,106,3,Male,2,2,research scientist,4,married,4789.17,12451.83,1,Yes,15,3.0,2,Full Time,0,3,3.0,15,6.0,6,11,1989,57470.0,False,Millennials
106,34,No,travel_rarely,1075.2857142857142,sales,31,4,,107,3,Female,3,3,sales executive,4,,8685.0,22581.0,1,No,19,3.0,3,Full Time,2,3,3.0,14,5.0,5,7,1991,104220.0,True,Millennials
107,31,No,travel_rarely,1032.4872861766066,research & development,21,4,Life Sciences,108,2,Female,4,3,manufacturing director,1,divorced,8339.32,21682.23,1,No,11,3.0,3,Full Time,1,1,3.0,10,8.0,8,8,1994,100071.84,False,Millennials
108,48,No,,1032.4872861766066,research & development,1,3,Medical,109,3,Male,2,3,healthcare representative,1,married,20649.745723532134,21682.23,2,Yes,13,3.0,3,Unknown,1,5,2.0,10,9.0,9,5,1977,100071.84,False,Gen X
109,32,No,,654.8492063492064,human resources,9,3,,110,3,Male,3,2,human resources,4,married,5289.17,13751.83,0,Yes,19,3.0,4,Full Time,0,2,1.0,11,4.0,4,7,1993,63470.0,False,Millennials
110,47,No,,242.25396825396828,research & development,9,3,Life Sciences,111,2,Male,3,2,laboratory technician,2,,1956.67,5087.33,8,No,18,3.0,3,Part Time,1,2,Unknown,17,0.0,0,15,1978,23480.0,True,Gen X
111,32,No,travel_rarely,1032.4872861766066,sales,5,3,,112,2,Female,3,3,sales executive,4,,8339.32,21682.23,2,No,12,3.0,3,Part Time,1,2,3.0,10,7.0,7,4,1993,100071.84,True,Millennials
112,32,No,,316.95238095238096,research & development,9,3,,113,3,Male,3,2,laboratory technician,1,,6339.047619047619,6656.0,1,No,11,0.0,3,Part Time,2,4,3.0,12,6.0,6,10,1993,30720.0,True,Millennials
113,36,No,travel_frequently,556.2566609977324,research & development,29,1,,114,4,Male,2,2,manufacturing director,3,married,4492.84,11681.39,1,Unknown,17,3.0,3,Part Time,0,2,2.0,10,1.0,1,9,1989,53914.08,False,Millennials
114,53,No,travel_rarely,1288.6507936507935,research & development,8,4,Life Sciences,115,2,Male,2,3,research director,2,married,10408.33,27061.67,5,No,16,3.0,4,Full Time,2,5,1.0,10,4.0,4,7,1972,124900.0,False,Gen X
115,36,No,,556.2566609977324,research & development,39,4,Life Sciences,116,3,Male,2,2,manufacturing director,1,,4492.84,11681.39,6,Unknown,13,3.0,2,Part Time,1,3,3.0,11,5.0,5,9,1989,53914.11,True,Millennials
116,37,No,travel_rarely,827.4603174603175,sales,16,3,,117,3,Male,3,3,sales executive,2,married,6683.33,17376.67,0,Unknown,15,3.0,3,Part Time,2,3,2.0,11,6.0,6,9,1988,80200.0,True,Millennials
117,47,No,travel_frequently,1032.4872861766066,research & development,7,3,Life Sciences,118,1,Male,3,3,laboratory technician,1,,8339.32,21682.23,1,Unknown,18,3.0,1,Part Time,1,2,3.0,24,9.0,9,11,1978,100071.84,True,Gen X
118,41,No,,1760.9841269841272,,10,1,,119,3,Male,3,4,manager,1,married,35219.682539682544,36980.67,1,Unknown,14,0.0,4,Full Time,0,3,3.0,21,11.0,11,10,1984,170680.0,True,Millennials
119,33,No,,922.6904761904764,research & development,7,2,,120,3,Female,2,3,manufacturing director,3,married,7452.5,19376.5,1,No,24,4.0,1,Part Time,1,2,3.0,10,8.0,8,9,1992,89430.0,False,Millennials
120,41,No,,1988.3809523809523,research & development,7,2,,121,3,Male,2,5,manager,4,married,16060.0,41756.0,1,Unknown,15,3.0,1,Full Time,1,2,3.0,21,13.0,13,3,1984,192720.0,True,Millennials
